"Latitude" "Longitude" "Crop" "Se" "Zn" "ph" "N_pct" "org" "Bio1" "Bio12" "TIM"
-14.8747895238921 34.7507683932781 "Maize" 0.01081 16.312 5.9 0.0737 1.038 213.050564350483 1030.7421803263 12.0633002171243
-14.8782709473744 34.7477887943387 "Maize" 0.02616 22.695 7.17 0.0672 0.9421 213.800103004613 1006.17475964553 10.0141728810064
-14.9097392521798 34.8297405894845 "Maize" 0.03339 30.307 6.69 0.0922 1.271 218.385377274374 1109.06320906126 10.2769708436101
-14.94997180067 34.6972937788814 "Maize" 0.08173 22.358 6.99 0.0817 1.175 208.004042524536 1101.54031253936 12.623327012796
-14.9467125814408 34.6990993246436 "Maize" 0.00251 16.914 6.17 0.088 1.19 208 1095 11.550740603118
-14.8255522549152 34.8094481695443 "Maize" 0.01759 25.519 6.49 0.1155 1.651 214 1157.45098021897 10.0089700709379
-14.8253673082217 34.8106168583035 "Maize" 0.00777 27.994 6.46 0.1 1.213 214 1158.02027288701 9.10620351841613
-14.836039901711 34.709148555994 "Maize" 0.0099 18.354 5.96 0.0423 0.5161 209.210002288586 1059.35070621219 13.4162368840896
-14.8041403060778 34.6303438302129 "Maize" 0.01667 20.39 5.68 0.0397 0.4743 197 1147 10.2926549231974
-14.8218228528276 34.6412605885416 "Maize" 0.02038 22.598 6.865 0.102 1.436 199 1128.94825039645 9.32238039859487
-14.8286195285618 34.6335380896925 "Maize" 0.00123 21.009 7.18 0.1224 1.5979 197.281903440671 1133.74477247463 12.6909718407976
-14.8056055046617 34.6242717280983 "Maize" 0.00153 18.65 7.94 0.1169 1.6383 196.859395547009 1148.82785788888 8.97627075888163
-14.786623972468 34.6332506742328 "Maize" 0.00548 22.45 6.66 0.1115 1.519 200.755865266109 1092.37720727971 9.94173108868056
-14.7726190276443 34.7616373747587 "Maize" 0.01476 36.983 6.21 0.0623 0.7095 206 1175 8.79353675284589
-14.7723790956661 34.7245641332119 "Maize" 0.01544 25.505 6.19 0.0403 0.4422 206 1042.23039062837 10.4669737501406
-14.9554740171879 34.7907053958624 "Maize" 0.00853 26.691 6.34 0.068 0.8864 215.16149357483 1134.36032652041 9.26069610024795
-14.9563394067808 34.7911946475505 "Maize" 0.05559 26.912 6.57 0.0772 1.066 215.153591738929 1134.14697695109 9.63058416766968
-14.9490039842203 34.8759289830923 "Maize" 0.0065 24.736 6.4 0.1007 1.192 221.48600981439 1100.54288495711 9.21442661042407
-14.9021841818466 34.8949812166392 "Maize" 0.00982 20.823 6.44 0.076 1.01 220 1168.76924390988 11.4459543989287
-14.9028201168403 34.9063145555555 "Maize" 0.02749 24.786 6.99 0.0692 0.8871 221.16884030475 1168 12.3455735360618
