"Latitude" "Longitude" "Crop" "SoilSampleID" "Se" "Zn" "Bio1" "Bio12" "EVI" "MB1" "MB2" "MB3" "MB7" "Slope" "TIM" "ph" "org"
6.616588684 39.1398032 "Teff" "GeoN-ETH18-Soil-1838" 0.0509 29.988577395 179 1068 5200 495 3453 303 852 8.390644073 8.5509758 5.335 5.9715
6.61687228 39.13790769 "Teff" "GeoN-ETH18-Soil-1837" 0.0577 27.60016126 179 1068 5200 495 3453 303 852 8.390644073 8.5509758 5.27 4.596
7.13596352 38.57586257 "Teff" "GeoN-ETH18-Soil-1906" 0.734638131 30.18296771 179 1210 3361 853 2738 487 1886 0.259430379 10.21212673 6.06 2.19
7.227435583 38.69549577 "Teff" "GeoN-ETH18-Soil-1868" 0.0927 36.12673513 169 943 3674 891 3000 498 1630 0.899533808 9.238562584 5.03 1.794
7.363428353 38.70147055 "Teff" "GeoN-ETH18-Soil-1882" 0.14624897 36.45558778 179 913 2886 1083 2746 621 2156 1.684718966 9.92817688 6.11 2.993
7.382579833 38.72830936 "Teff" "GeoN-ETH18-Soil-1883" 0.306661029 32.34148674 179 841 2662 1051 2570 577 1880 2.86855197 11.08767891 6.46 1.291
7.44364585 38.7694394 "Teff" "GeoN-ETH18-Soil-1887" 0.0804 35.99704503 187 734 2693 1100 2675 587 1829 3.320839643 9.672823906 7.41 2.2812
7.549970415 36.49636711 "Teff" "GeoN-ETH18-Soil-1284" 0.117822804 31.41783407 172 1759 4664 507 3067 318 868 7.228404522 7.683243752 5.57 3.318
7.636875214 39.82370898 "Teff" "GeoN-ETH18-Soil-1992" 0.110637968 27.10822502 158 1454 2716 810 2304 433 1367 2.241932631 10.83059883 6.33 1.55
7.642209142 39.21658114 "Teff" "GeoN-ETH18-Soil-1590" 0.0323 31.09301958 153 887 3851 859 3101 475 1559 1.872317553 12.09727669 6.52 5.999
7.742777396 37.37846573 "Teff" "GeoN-ETH18-Soil-1676" 0.05525608 32.99498478 176 1506.5 2791.5 807.5 2358.5 428.5 1256.5 2.089593023 7.163962841 5.655 2.7515
7.744324763 37.38167421 "Teff" "GeoN-ETH18-Soil-1270" 0.05711216 34.67329866 179 1429 2897 814 2428 437 1284 0.980697095 6.85246706 5.61 2.62
7.755720252 36.27676332 "Teff" "GeoN-ETH18-Soil-1704" 0.05555 41.225212925 165 1929 4688 526 3194 300 850 0.942303896 12.85678864 5.1 4.6615
7.755988457 36.27669637 "Teff" "GeoN-ETH18-Soil-1705" 0.054 40.89341652 165 1929 4688 526 3194 300 850 0.942303896 12.85678864 5.42 4.985
7.784572017 36.92713857 "Teff" "GeoN-ETH18-Soil-1684" 0.0357 33.31700661 166 2048 3959 718 2921 445 1176 1.665137887 6.860195637 5.11 4.487
7.864515878 39.8175338 "Teff" "GeoN-ETH18-Soil-2002" 0.0442 30.51519148 158 1160 2493 867 2260 439 1355 1.584395528 8.851657867 5.93 2.49
7.875495842 39.62312849 "Teff" "GeoN-ETH18-Soil-2005" 0.0451 29.42499527 155 1133 3231 893 2740 489 1490 0.334101856 8.646286964 6.57 2.19
7.893355305 39.62588534 "Teff" "GeoN-ETH18-Soil-2006" 0.214208867 24.54677059 154 1161 2951 878 2549 458 1441 0.74374181 10.33474255 5.94 3.295
7.905004479 36.08701058 "Teff" "GeoN-ETH18-Soil-1698" 0.0356 33.94033158 149 2067 4237 669 3028 427 1167 2.308530331 7.820301533 4.88 4.137
7.939201154 39.72469439 "Teff" "GeoN-ETH18-Soil-2112" 0.177218274 28.9314554 154 1228 2073 781 1900 417 1361 1.463883162 10.4033556 6.16 1.62
7.942897846 39.60083269 "Teff" "GeoN-ETH18-Soil-2007" 0.0971 24.98614861 153 1073 3097 867 2619 471 1477 0.692307949 9.019132614 6.09 1.527
7.95507591 37.29952468 "Teff" "GeoN-ETH18-Soil-1677" 0.032 33.7536552 168 1781 3427 819 2746 500 1373 2.576702595 8.495540619 4.76 3.794
7.982674734 36.18651505 "Teff" "GeoN-ETH18-Soil-1699" 0.0497 30.70769702 153 2356 4026 716 2990 434 1171 1.143675685 7.954566002 4.94 3.332
8.015229744 37.20338805 "Teff" "GeoN-ETH18-Soil-1279" 0.0329 29.75987303 173 1468 3589 783 2836 434 1293 1.106488466 8.908419609 5.02 2.687
8.019814907 39.56375749 "Teff" "GeoN-ETH18-Soil-2104" 0.00878 30.6199545 144 1141 3091 858 2592 473 1541 2.890412331 9.861809731 5.63 5.38
8.049905695 39.72714088 "Teff" "GeoN-ETH18-Soil-2110" 0.044 29.98664597 150 1345 2510 819 2170 465 1393 1.218681335 10.68982697 6.29 1.69
8.073634985 39.73634144 "Teff" "GeoN-ETH18-Soil-2109" 99999 31.1092778 149 1333 2994 888 2597 470 1493 0.259428352 9.289402962 5.98 3.44
8.138810111 36.45976981 "Teff" "GeoN-ETH18-Soil-1921" 0.0654 31.46375108 158 2648 3672 742 2794 459 1102 7.70126152 8.316353798 4.82 1.75
8.262895166 39.32935278 "Teff" "GeoN-ETH18-Soil-2120" 0.394646825 32.58894882 196 754 2107 1497 2838 745 2624 1.851175666 9.006194115 8.2 0.9878
8.290909066 39.31417838 "Teff" "GeoN-ETH18-Soil-2118" 0.288816617 32.63062875 197 793 2126 1359 2653 702 2586 0.935308516 14.04298592 8.06 2.6225
8.302419867 39.32270648 "Teff" "GeoN-ETH18-Soil-2013" 0.368243283 32.27640219 198 792 2070 1392 2657 720 2567 0.634157121 15.13628292 8.1 2.682
8.304685247 36.03609717 "Teff" "GeoN-ETH18-Soil-1969" 0.039 31.9060584 162 1966 3916 685 2830 440 1147 1.764580488 8.562901497 4.7 3.98
8.316223219 40.03115025 "Teff" "GeoN-ETH18-Soil-2142" 0.499918121 28.19988735 189 1057 3936 650 2865 355 997 9.273464203 8.35168457 6.12 2.074
8.320146678 36.50005376 "Teff" "GeoN-ETH18-Soil-1974" 0.0263 27.85017751 152 2537 3678 808 2825 533 1115 7.251402378 8.929751396 5.5 4.35
8.35295884 39.63855864 "Teff" "GeoN-ETH18-Soil-2122" 0.230334187 28.48017098 172 836 2938 772 2436 396 1256 9.831547737 7.982722759 6.56 1.632
8.358146962 39.47286079 "Teff" "GeoN-ETH18-Soil-2009" 0.456393261 31.64053513 201 845 2148 1096 2338 565 1996 0.668183506 10.77506828 8.07 1.4881
8.368750742 39.70643179 "Teff" "GeoN-ETH18-Soil-2124" 0.275966694 26.13788037 174 800 2822 714 2281 386 1218 2.959495783 13.1512022 5.84 2.307
8.369949365 39.70047573 "Teff" "GeoN-ETH18-Soil-2123" 0.1906927 27.17012317 174 800 2683 725 2218 377 1249 3.218093634 10.78278637 6.13 2.958
8.391071881 36.32442618 "Teff" "GeoN-ETH18-Soil-1917" 0.0318 33.01054693 173 1733 4326 578 3010 323 1079 1.271380305 8.783378601 5.18 2.48
8.396361654 36.45884453 "Teff" "GeoN-ETH18-Soil-1977" 0.0506 30.34007606 178 1724 4146 587 2888 348 1030 1.296939135 12.75722504 4.77 2.37
8.409931932 39.52258954 "Teff" "GeoN-ETH18-Soil-2008" 0.0944 33.48611672 206 831 2007 1359 2606 665 2271 2.115606308 7.853674889 7.85 1.4914
8.411300358 39.76368932 "Teff" "GeoN-ETH18-Soil-2126" 0.189437486 41.97047583 182 819 2780 786 2348 418 1488 4.086000443 8.576090813 5.9 3.768
8.415737453 38.63092031 "Teff" "GeoN-ETH18-Soil-1387" 0.0471 32.5594739 162 1329 2959 896 2553 504 1446 2.223955393 8.601259232 6.01 1.606
8.429591549 39.73538124 "Teff" "GeoN-ETH18-Soil-2125" 0.245575583 26.10463558 188 834 2658 927 2474 454 1658 0.86985296 7.894999981 6.28 1.851
8.444792085 39.59174501 "Teff" "GeoN-ETH18-Soil-2121" 0.459833993 32.31698247 219 616 1982 1215 2421 569 2174 1.100536823 11.55575752 7.86 2.0142
8.464557432 36.36519843 "Teff" "GeoN-ETH18-Soil-1920" 0.0429 32.47812299 171 2327 3548 737 2748 421 1156 2.67367959 8.650880814 4.74 3.37
8.465489645 39.91580406 "Teff" "GeoN-ETH18-Soil-2130" 0.0477 31.19047985 183 871 2534 817 2246 421 1385 1.382634163 7.58420229 6.28 2.78
8.470759444 39.27011272 "Teff" "GeoN-ETH18-Soil-1350" 99999 34.11913922 201 1017 2288 1305 2681 702 2423 9.154205322 8.551411629 7.22 0.8138
8.474567309 39.79085428 "Teff" "GeoN-ETH18-Soil-2129" 0.283292186 29.23131826 204 753 2264 991 2298 489 1736 2.347943068 11.05851936 7.9 1.3627
8.482282485 39.16184668 "Teff" "GeoN-ETH18-Soil-1352" 0.091 30.72375071 202 856 2088 1275 2532 650 2271 3.402511597 8.155612946 7.96 2.2114
8.486117424 38.2287956 "Teff" "GeoN-ETH18-Soil-1421" 0.0263 32.21385032 158 1180 2329 905 2194 481 1486 1.266214252 10.42816067 5.74 1.452
8.488947144 39.28886489 "Teff" "GeoN-ETH18-Soil-1720" 0.0205 22.22032906 199 1008 1993 1262 2461 646 2176 1.080984354 9.758063316 7.45 0.6759
8.489621414 36.04848587 "Teff" "GeoN-ETH18-Soil-1970" 0.0432 30.9629205 172 2493 3926 588 2704 375 1017 2.591602087 8.440565109 4.71 4.34
8.500512605 39.05996011 "Teff" "GeoN-ETH18-Soil-1339" 0.290154405 27.71354301 199 933 2481 1352 2856 733 2373 0.634153068 13.47384071 6.87 1.246
8.515999597 39.55137917 "Teff" "GeoN-ETH18-Soil-1747" 0.2845230145 32.29877725 223 690 1789 1293 2396 590 2392 1.831596851 12.75494671 7.04 0.5344
8.51685438 39.55208367 "Teff" "GeoN-ETH18-Soil-1746" 0.323174042 33.56877497 223 690 1789 1293 2396 590 2392 1.831596851 12.75494671 7.11 0.4917
8.532241975 39.30271023 "Teff" "GeoN-ETH18-Soil-1344" 0.16706231 28.69288999 206 752 1864 1329 2477 655 2332 1.844520092 11.88062859 7.52 0.6791
8.535614827 39.81504852 "Teff" "GeoN-ETH18-Soil-2128" 0.101605945 37.43037091 211 780 2285 892 2160 463 1858 0.899531364 11.4957037 8.12 2.1287
8.537561447 40.31429777 "Teff" "GeoN-ETH18-Soil-2877" 0.0466 27.41051622 197 1148 2495 1237 2795 582 2229 5.815407276 8.985585213 6.74 0.8978
8.577265458 37.74337783 "Teff" "GeoN-ETH18-Soil-1407" 0.0775 29.74564907 181 1315 2910 893 2534 494 1323 2.497659683 9.608314514 6.02 1.602
